itching,skin_rash,nodal_skin_eruptions,continuous_sneezing,shivering,chills,joint_pain,stomach_pain,acidity,ulcers_on_tongue,muscle_wasting,vomiting,burning_micturition,Medicine
1,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
1,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
1,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
1,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
1,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
1,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
1,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
1,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
1,1,0,0,0,0,0,1,0,0,0,0,1,calcium bosentan
1,0,0,0,0,0,0,1,0,0,0,0,1,calcium bosentan
1,1,0,0,0,0,0,0,0,0,0,0,1,calcium bosentan
1,1,0,0,0,0,0,1,0,0,0,0,0,calcium bosentan
1,1,0,0,0,0,0,1,0,0,0,0,1,calcium bosentan
0,1,0,0,0,0,0,1,0,0,0,0,1,calcium bosentan
1,0,0,0,0,0,0,1,0,0,0,0,1,calcium bosentan
1,1,0,0,0,0,0,0,0,0,0,0,1,calcium bosentan
1,1,0,0,0,0,0,1,0,0,0,0,0,calcium bosentan
1,1,0,0,0,0,0,1,0,0,0,0,1,calcium bosentan
0,0,0,0,0,0,0,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,0,0,0,0,1,0,0,codeine crizanlizumab cyclosporine
0,0,0,0,0,0,0,0,0,0,0,0,0,codeine crizanlizumab cyclosporine
0,0,0,0,0,0,0,0,0,0,1,0,0,codeine crizanlizumab cyclosporine
0,0,0,0,0,0,0,0,0,0,1,0,0,codeine crizanlizumab cyclosporine
0,0,0,0,0,0,0,0,0,0,1,0,0,codeine crizanlizumab cyclosporine
0,0,0,0,0,0,0,0,0,0,1,0,0,codeine crizanlizumab cyclosporine
0,0,0,0,0,0,0,0,0,0,1,0,0,codeine crizanlizumab cyclosporine
0,0,0,0,0,0,0,0,0,0,0,0,0,codeine crizanlizumab cyclosporine
0,0,0,0,0,0,0,0,0,0,1,0,0,codeine crizanlizumab cyclosporine
0,0,0,0,0,0,0,0,0,0,1,0,0,codeine crizanlizumab cyclosporine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,0,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,0,0,0,0,0,0,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,0,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,0,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,0,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,0,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,0,0,0,0,0,0,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,0,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,0,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,0,0,0,0,0,0,0,Genvoya® emtricitabine
0,0,0,0,0,0,0,0,0,0,0,0,0,Genvoya® emtricitabine
0,0,0,0,0,0,0,0,0,0,0,0,0,Genvoya® emtricitabine
0,0,0,0,0,0,0,0,0,0,0,0,0,Genvoya® emtricitabine
0,0,0,0,0,0,0,0,0,0,0,0,0,Genvoya® emtricitabine
0,0,0,0,0,0,0,0,0,0,0,0,0,Genvoya® emtricitabine
0,0,0,0,0,0,0,0,0,0,0,0,0,Genvoya® emtricitabine
0,0,0,0,0,0,0,0,0,0,0,0,0,Genvoya® emtricitabine
0,0,0,0,0,0,0,0,0,0,0,0,0,Genvoya® emtricitabine
0,0,0,0,0,0,0,0,0,0,0,0,0,Genvoya® emtricitabine
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,1,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,1,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,1,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,1,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,1,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,1,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,1,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,1,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,1,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
1,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
1,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
1,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
1,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
1,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
1,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
1,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
1,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
1,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
1,1,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,1,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
1,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
1,1,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
1,1,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
1,1,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
1,1,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
1,1,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
1,1,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
1,1,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,1,0,0,0,1,1,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,1,0,0,0,1,1,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,1,0,0,0,1,1,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,1,0,0,0,1,1,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,0,0,0,0,1,1,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,1,0,0,0,0,1,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,1,0,0,0,1,0,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,1,0,0,0,1,1,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,1,0,0,0,1,1,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,1,0,0,0,1,1,0,0,0,0,1,0,baclofen bleomycin bortezomib
0,0,0,0,0,1,0,0,0,0,0,1,0,calcium bosentan
0,0,0,0,0,1,0,0,0,0,0,1,0,calcium bosentan
0,0,0,0,0,1,0,0,0,0,0,1,0,calcium bosentan
0,0,0,0,0,1,0,0,0,0,0,1,0,calcium bosentan
0,0,0,0,0,1,0,0,0,0,0,1,0,calcium bosentan
0,0,0,0,0,1,0,0,0,0,0,1,0,calcium bosentan
0,0,0,0,0,1,0,0,0,0,0,1,0,calcium bosentan
0,0,0,0,0,1,0,0,0,0,0,1,0,calcium bosentan
0,0,0,0,0,1,0,0,0,0,0,1,0,calcium bosentan
0,0,0,0,0,1,0,0,0,0,0,0,0,calcium bosentan
0,0,0,0,0,0,1,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,1,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,1,0,0,0,0,0,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,1,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,1,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,1,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,1,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,1,0,0,0,0,1,0,carboplatin azithromycin bortezomib
0,0,0,0,0,0,1,0,0,0,0,1,0,carboplatin azithromycin bortezomib
1,0,0,0,0,0,0,0,0,0,0,0,0,codeine crizanlizumab cyclosporine
1,0,0,0,0,0,0,0,0,0,0,0,0,codeine crizanlizumab cyclosporine
0,0,0,0,0,0,0,0,0,0,0,0,0,codeine crizanlizumab cyclosporine
1,0,0,0,0,0,0,0,0,0,0,0,0,codeine crizanlizumab cyclosporine
1,0,0,0,0,0,0,0,0,0,0,0,0,codeine crizanlizumab cyclosporine
1,0,0,0,0,0,0,0,0,0,0,0,0,codeine crizanlizumab cyclosporine
1,0,0,0,0,0,0,0,0,0,0,0,0,codeine crizanlizumab cyclosporine
1,0,0,0,0,0,0,0,0,0,0,0,0,codeine crizanlizumab cyclosporine
1,0,0,0,0,0,0,0,0,0,0,0,0,codeine crizanlizumab cyclosporine
1,0,0,0,0,0,0,0,0,0,0,0,0,codeine crizanlizumab cyclosporine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,0,0,0,0,0,0,0,dapsone desmopressin cytarabine
0,0,0,0,0,0,1,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,0,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,1,0,0,0,0,0,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,1,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,1,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,1,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,1,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,1,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,1,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,1,0,0,0,0,1,0,cytarabine efavirenz Genvoya®
0,0,0,0,0,0,1,0,0,0,0,1,0,Genvoya® emtricitabine
0,0,0,0,0,0,1,0,0,0,0,1,0,Genvoya® emtricitabine
0,0,0,0,0,0,1,0,0,0,0,1,0,Genvoya® emtricitabine
0,0,0,0,0,0,0,0,0,0,0,1,0,Genvoya® emtricitabine
0,0,0,0,0,0,1,0,0,0,0,0,0,Genvoya® emtricitabine
0,0,0,0,0,0,1,0,0,0,0,1,0,Genvoya® emtricitabine
0,0,0,0,0,0,1,0,0,0,0,1,0,Genvoya® emtricitabine
0,0,0,0,0,0,1,0,0,0,0,1,0,Genvoya® emtricitabine
0,0,0,0,0,0,1,0,0,0,0,1,0,Genvoya® emtricitabine
0,0,0,0,0,0,1,0,0,0,0,1,0,Genvoya® emtricitabine
0,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,1,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,1,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,1,0,1,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,1,0,1,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,1,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,1,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,1,0,1,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,1,0,1,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,1,0,1,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,1,0,1,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,1,0,1,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,1,0,1,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,1,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,1,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,1,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,1,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,1,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,1,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,1,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,1,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,1,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,0,0,abacavir Triumeq® Epzicom® acyclovir
0,0,0,0,0,0,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,0,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,1,0,alemtuzumab amikacin amitriptyline
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,Augmentin® amphotericin B ampicillin
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,baclofen bleomycin bortezomib
0,0,0,0,0,0,0,0,0,0,0,0,0,calcium bosentan
0,0,0,0,0,0,0,0,0,0,0,0,0,calcium bosentan
0,0,0,0,0,0,0,0,0,0,0,0,0,calcium bosentan
